Codice Vigneto,OU max,OU min,data max,data min
vigneto 1,47,27,269,254
vigneto 2,77,65,283,260
vigneto 3,56,28,259,239
vigneto 4 T,82,62,296,253
vigneto 4 S,62,25,290,268
vigneto 4 M,56,36,289,258
vigneto 5,94,70,278,251
vigneto 6,64,42,276,258
vigneto 7,33,20,291,263
vigneto 8,36,20,291,262
vigneto 9,59,37,269,239
vigneto 10,133,70,274,246
vigneto 11,62,40,264,256
vigneto 13 S,96,45,275,255
vigneto 13 P,46,35,296,274
vigneto 14 M,100,50,283,263
vigneto 14 S,22,12,284,264
vigneto 15,50,15,282,259
vigneto 16,88,77,273,265
