Day,p min 5,p min 15
220,0.058823529,0.058823529
221,0,0
222,0.058823529,0
223,0,0
224,0.058823529,0.058823529
225,0,0
226,0.058823529,0.058823529
227,0.058823529,0.058823529
228,0.058823529,0
229,0,0
230,0,0
231,0.117647059,0
232,0.058823529,0.058823529
233,0.058823529,0
234,0,0
235,0.058823529,0.058823529
236,0.117647059,0.058823529
237,0.117647059,0.058823529
238,0,0
239,0.058823529,0.058823529
240,0.058823529,0.058823529
241,0,0
242,0,0
243,0.117647059,0
244,0.1875,0.125
245,0.0625,0
246,0,0
247,0.125,0.0625
248,0.0625,0
249,0,0
250,0,0
251,0.1875,0.125
252,0.25,0.0625
253,0.1875,0.1875
254,0.125,0.0625
255,0,0
256,0.0625,0
257,0.1875,0.125
258,0.1875,0
259,0.1875,0.0625
260,0.3125,0.125
261,0.25,0.1875
262,0.125,0.0625
263,0.125,0
264,0,0
265,0.125,0.125
266,0.125,0.0625
267,0,0
268,0.125,0.0625
269,0,0
270,0.0625,0.0625
271,0.125,0
272,0.0625,0.0625
273,0.0625,0
274,0.1875,0.125
275,0.3125,0.0625
276,0.0625,0
277,0.125,0.0625
278,0.1875,0.125
279,0.0625,0
280,0.0625,0
281,0.125,0
282,0.0625,0.0625
283,0.1875,0.125
284,0.125,0.0625
285,0.0625,0
286,0.125,0.0625
287,0.125,0.0625
288,0.3125,0.0625
289,0.1875,0.0625
290,0.125,0.0625
291,0,0
292,0.125,0.0625
293,0.125,0.0625
294,0.125,0.0625
295,0.125,0
296,0,0
297,0.1875,0.125
298,0.125,0.0625
299,0.25,0.1875
300,0.0625,0.0625
301,0.125,0.0625
302,0.3125,0.1875
303,0.25,0.125
304,0.125,0.125
305,0.375,0.1875
