Codice Vigneto,prod max,prod min
vigneto 1,0.125555556,0.074468085
vigneto 2,0.064615385,0.051315789
vigneto 3,0.103571429,0.049107143
vigneto 4 T,0.05390625,0.045121951
vigneto 4 S,0.216,0.08
vigneto 4 M,0.097222222,0.0625
vigneto 5,0.0625,0.044680851
vigneto 6,0.161904762,0.0921875
vigneto 7,0.2,0.106060606
vigneto 8,0.075,0.036111111
vigneto 9,0.102702703,0.057627119
vigneto 10,0.065714286,0.03671875
vigneto 11,0.1625,0.083870968
vigneto 13 S,0.106666667,0.054166667
vigneto 13 P,0.034285714,0.017391304
vigneto 14 M,0.09,0.042
vigneto 14 S,0.083333333,0.040909091
vigneto 15,0.213333333,0.08
vigneto 16,0.041558442,0.038461538
