Cod Vign,Uva media,Uva sd
vigneto 1,3.445,0.077781746
vigneto 2,4.083333333,0.160727513
vigneto 3,3.05,0.396862697
vigneto 4 T,3.483333333,0.202072594
vigneto 4 S,5.066666667,0.305505046
vigneto 4 M,3.35,0.212132034
vigneto 5,4.5,0.435889894
vigneto 6,6.35,0.636396103
vigneto 7,3.7,0.264575131
vigneto 8,1.4,0.141421356
vigneto 9,3.633333333,0.2081666
vigneto 10,4.8,0.264575131
vigneto 11,5.77,0.664605146
vigneto 13 S,5.166666667,0.351188458
vigneto 13 P,1,0.282842712
vigneto 14 M,4.433333333,0.2081666
vigneto 14 S,1.033333333,0.152752523
vigneto 15,3.583333333,0.401040314
vigneto 16,3.233333333,0.251661148
